s,p,o
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#TransitiveProperty
http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#TransitiveProperty
http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.w3.org/2002/07/owl#equivalentProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#SymmetricProperty
http://www.w3.org/2002/07/owl#equivalentProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#TransitiveProperty
http://www.w3.org/2002/07/owl#equivalentClass,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#SymmetricProperty
http://www.w3.org/2002/07/owl#equivalentClass,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#TransitiveProperty
http://proton.semanticweb.org/protonsys#transitiveOver,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.w3.org/2002/07/owl#inverseOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.w3.org/2002/07/owl#inverseOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#SymmetricProperty
http://www.w3.org/1999/02/22-rdf-syntax-ns#subject,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.w3.org/1999/02/22-rdf-syntax-ns#object,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.w3.org/1999/02/22-rdf-syntax-ns#value,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.w3.org/1999/02/22-rdf-syntax-ns#nil,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#List
http://www.w3.org/1999/02/22-rdf-syntax-ns#XMLLiteral,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/1999/02/22-rdf-syntax-ns#XMLLiteral,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Datatype
http://www.w3.org/2002/07/owl#differentFrom,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#SymmetricProperty
http://www.w3.org/2001/XMLSchema#nonNegativeInteger,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/2001/XMLSchema#nonNegativeInteger,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Datatype
http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Datatype
http://www.w3.org/1999/02/22-rdf-syntax-ns#_1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.w3.org/1999/02/22-rdf-syntax-ns#_1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#ContainerMembershipProperty
http://iiitd.ac.in/course/sweb/student/2019440/Vehicle,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://iiitd.ac.in/course/sweb/student/2019440/Vehicle_Brands,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://iiitd.ac.in/course/sweb/student/2019440/alternateName,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/alternates,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/alternateSpelling,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/bodyStyleProduced,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/production,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/business,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/city,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/country,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/countryOfOrigin,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/currentFocusOn,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/focusOn,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/firstName,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/foundedBy,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/fullName,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/headquarters,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/historicalInformation,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/information,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/incorporationDate,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/lastName,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/longestRunningSeriesOfModels,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/seriesOfModels,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/majorCompetitors,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/competitors,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/manufactures,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/market,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/modelName,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/parentCompany,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/prefecture,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/productionOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/sales,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/startYear,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/tillYear,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/unitsSold,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/whereSold,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/Aichi,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://iiitd.ac.in/course/sweb/student/2019440/Place
http://iiitd.ac.in/course/sweb/student/2019440/Asia,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://iiitd.ac.in/course/sweb/student/2019440/Place
http://iiitd.ac.in/course/sweb/student/2019440/Land_Cruiser,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://iiitd.ac.in/course/sweb/student/2019440/Vehicle
http://iiitd.ac.in/course/sweb/student/2019440/Land_Cruiser,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://iiitd.ac.in/course/sweb/student/2019440/SUV
http://iiitd.ac.in/course/sweb/student/2019440/Land_Cruiser,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://iiitd.ac.in/course/sweb/student/2019440/4_Wheeler
_:node1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Container
_:node1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Bag
http://www.w3.org/1999/02/22-rdf-syntax-ns#_2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.w3.org/1999/02/22-rdf-syntax-ns#_3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.w3.org/1999/02/22-rdf-syntax-ns#_4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/North_America,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://iiitd.ac.in/course/sweb/student/2019440/Place
http://iiitd.ac.in/course/sweb/student/2019440/Tokyo_City,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://iiitd.ac.in/course/sweb/student/2019440/Place
http://iiitd.ac.in/course/sweb/student/2019440/Japan,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://iiitd.ac.in/course/sweb/student/2019440/Place
http://iiitd.ac.in/course/sweb/student/2019440/reason,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/impactOn,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/intensity,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
_:node9,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Container
_:node9,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Bag
_:node10,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Container
_:node10,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Bag
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf
http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subClassOf
http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#domain
http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#range
http://www.w3.org/2002/07/owl#equivalentProperty,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf
http://www.w3.org/2002/07/owl#equivalentClass,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subClassOf
http://proton.semanticweb.org/protonsys#transitiveOver,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://proton.semanticweb.org/protonsys#transitiveOver
http://www.w3.org/2002/07/owl#inverseOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2002/07/owl#inverseOf
http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#first
http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest
http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#seeAlso
http://www.w3.org/1999/02/22-rdf-syntax-ns#_1,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#_1
http://iiitd.ac.in/course/sweb/student/2019440/alternateName,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/alternateName
http://iiitd.ac.in/course/sweb/student/2019440/alternateName,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/alternates
http://iiitd.ac.in/course/sweb/student/2019440/alternates,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/alternates
http://iiitd.ac.in/course/sweb/student/2019440/alternateSpelling,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/alternates
http://iiitd.ac.in/course/sweb/student/2019440/alternateSpelling,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/alternateSpelling
http://iiitd.ac.in/course/sweb/student/2019440/bodyStyleProduced,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/bodyStyleProduced
http://iiitd.ac.in/course/sweb/student/2019440/bodyStyleProduced,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/production
http://iiitd.ac.in/course/sweb/student/2019440/production,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/production
http://iiitd.ac.in/course/sweb/student/2019440/business,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/business
http://iiitd.ac.in/course/sweb/student/2019440/city,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/city
http://iiitd.ac.in/course/sweb/student/2019440/country,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/country
http://iiitd.ac.in/course/sweb/student/2019440/countryOfOrigin,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/countryOfOrigin
http://iiitd.ac.in/course/sweb/student/2019440/currentFocusOn,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/currentFocusOn
http://iiitd.ac.in/course/sweb/student/2019440/currentFocusOn,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/focusOn
http://iiitd.ac.in/course/sweb/student/2019440/focusOn,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/focusOn
http://iiitd.ac.in/course/sweb/student/2019440/firstName,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/firstName
http://iiitd.ac.in/course/sweb/student/2019440/foundedBy,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/foundedBy
http://iiitd.ac.in/course/sweb/student/2019440/fullName,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/fullName
http://iiitd.ac.in/course/sweb/student/2019440/headquarters,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/headquarters
http://iiitd.ac.in/course/sweb/student/2019440/historicalInformation,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/historicalInformation
http://iiitd.ac.in/course/sweb/student/2019440/historicalInformation,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/information
http://iiitd.ac.in/course/sweb/student/2019440/information,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/information
http://iiitd.ac.in/course/sweb/student/2019440/incorporationDate,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/incorporationDate
http://iiitd.ac.in/course/sweb/student/2019440/lastName,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/lastName
http://iiitd.ac.in/course/sweb/student/2019440/longestRunningSeriesOfModels,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/longestRunningSeriesOfModels
http://iiitd.ac.in/course/sweb/student/2019440/longestRunningSeriesOfModels,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/seriesOfModels
http://iiitd.ac.in/course/sweb/student/2019440/seriesOfModels,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/seriesOfModels
http://iiitd.ac.in/course/sweb/student/2019440/majorCompetitors,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/majorCompetitors
http://iiitd.ac.in/course/sweb/student/2019440/majorCompetitors,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/competitors
http://iiitd.ac.in/course/sweb/student/2019440/competitors,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/competitors
http://iiitd.ac.in/course/sweb/student/2019440/manufactures,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/manufactures
http://iiitd.ac.in/course/sweb/student/2019440/market,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/market
http://iiitd.ac.in/course/sweb/student/2019440/modelName,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/modelName
http://iiitd.ac.in/course/sweb/student/2019440/parentCompany,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/parentCompany
http://iiitd.ac.in/course/sweb/student/2019440/prefecture,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/prefecture
http://iiitd.ac.in/course/sweb/student/2019440/productionOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/productionOf
http://iiitd.ac.in/course/sweb/student/2019440/sales,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/sales
http://iiitd.ac.in/course/sweb/student/2019440/startYear,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/startYear
http://iiitd.ac.in/course/sweb/student/2019440/tillYear,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/tillYear
http://iiitd.ac.in/course/sweb/student/2019440/unitsSold,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/unitsSold
http://iiitd.ac.in/course/sweb/student/2019440/whereSold,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/whereSold
http://www.w3.org/1999/02/22-rdf-syntax-ns#_2,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#_2
http://www.w3.org/1999/02/22-rdf-syntax-ns#_3,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#_3
http://www.w3.org/1999/02/22-rdf-syntax-ns#_4,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#_4
http://iiitd.ac.in/course/sweb/student/2019440/reason,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/reason
http://iiitd.ac.in/course/sweb/student/2019440/impactOn,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/impactOn
http://iiitd.ac.in/course/sweb/student/2019440/intensity,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/intensity
